"country","sex","age_bands","pr_edu_adv","pr_edu_basic","pr_edu_inter","pr_edu_lt_basic","pr_emp_edu_adv","pr_emp_edu_basic","pr_emp_edu_inter","pr_emp_edu_lt_basic","pr_emp_edu_tot","age_grp_start"
"Algeria","Female","Age (10-year bands): 35-44",0.505649717514124,0.132768361581921,0.254237288135593,0.107344632768362,0.798186666666667,0.626513333333333,0.708957142857143,0.553614285714286,0.61474,35
"Algeria","Female","Age (10-year bands): 45-54",0.412037037037037,0.175925925925926,0.231481481481481,0.180555555555556,0.8178,0.633386666666667,0.750057142857143,0.577628571428571,0.603886666666667,45
"Algeria","Female","Age (10-year bands): 55-64",0.142857142857143,0.232142857142857,0.160714285714286,0.464285714285714,0.589391666666667,0.531093333333333,0.609708333333333,0.472692857142857,0.491486666666667,55
"Algeria","Female","Age (10-year bands): 65+",0,0.25,0,0.75,0.255766666666667,0.364853846153846,0.333577777777778,0.263785714285714,0.27406,65
"Algeria","Male","Age (10-year bands): 05-15",0,0.993215739484396,0,0.0067842605156038,0,0,0,0,0,5
"Algeria","Male","Age (10-year bands): 15-24",0.23134328358209,0.135006784260516,0.626865671641791,0.0067842605156038,0.30205,0.273766666666667,0.246423076923077,0.441441666666667,0.297033333333333,15
"Algeria","Male","Age (10-year bands): 25-34",0.265679781846513,0.173743669653292,0.539540319439034,0.0210362290611609,0.674713333333333,0.709813333333333,0.681071428571429,0.685885714285714,0.70106,25
"Algeria","Male","Age (10-year bands): 35-44",0.307030854830551,0.17298937784522,0.458270106221548,0.0617096611026808,0.86552,0.785893333333333,0.850171428571429,0.730276923076923,0.785273333333333,35
"Algeria","Male","Age (10-year bands): 45-54",0.228406909788868,0.301343570057582,0.320537428023033,0.149712092130518,0.892433333333333,0.770793333333333,0.835746153846154,0.710073333333333,0.76946,45
"Algeria","Male","Age (10-year bands): 55-64",0.137223974763407,0.313880126182965,0.162460567823344,0.386435331230284,0.72626,0.631253333333333,0.654938461538461,0.64588,0.65364,55
"Algeria","Male","Age (10-year bands): 65+",0.0273972602739726,0.164383561643836,0.0821917808219178,0.726027397260274,0.430941666666667,0.38082,0.387463636363636,0.42512,0.39812,65
"Argentina","Female","Age (10-year bands): 05-15",0,0.994354792404528,0,0.00564520759547207,0,0,0,0,0,5
"Argentina","Female","Age (10-year bands): 15-24",0.071655344041162,0.247104922996343,0.675594525367023,0.00564520759547207,0.7121,0.1127,0.3192,0.1198,0.2288,15
"Argentina","Female","Age (10-year bands): 25-34",0.293161376136641,0.170503084704137,0.52947148242631,0.00686405673291189,0.852,0.4242,0.598,0.3342,0.6083,25
"Argentina","Female","Age (10-year bands): 35-44",0.373038804507199,0.21943510568543,0.386932274885792,0.0205938149215791,0.89,0.5466,0.6644,0.4185,0.691,35
"Argentina","Female","Age (10-year bands): 45-54",0.351469257528397,0.275388054603641,0.339768130393469,0.0333745574744926,0.8508,0.5759,0.6685,0.5015,0.6828,45
"Argentina","Female","Age (10-year bands): 55-64",0.305106203034673,0.299564261569131,0.33480155384482,0.0605279815513759,0.6347,0.3912,0.4893,0.35,0.4759,55
"Argentina","Female","Age (10-year bands): 65+",0.274736289245893,0.36439995028486,0.241322903845306,0.119540856623941,0.1985,0.09,0.1052,0.081,0.1087,65
"Argentina","Male","Age (10-year bands): 05-15",0,0.980428077067684,0,0.0195719229323164,0,0,0,0,0,5
"Argentina","Male","Age (10-year bands): 15-24",0.0295314861847507,0.437674081349222,0.513222509533711,0.0195719229323164,0.6659,0.2752,0.438,0.5193,0.3478,15
"Argentina","Male","Age (10-year bands): 25-34",0.159563117852904,0.286504474205884,0.532177664825255,0.0217547431159566,0.9356,0.8158,0.8272,0.7444,0.8295,25
"Argentina","Male","Age (10-year bands): 35-44",0.206505110358467,0.333969471155372,0.425622369583571,0.0339030489025901,0.9633,0.8527,0.9152,0.7713,0.8919,35
"Argentina","Male","Age (10-year bands): 45-54",0.22580701408103,0.372526892332329,0.357380143160738,0.0442859504259042,0.9451,0.8467,0.8863,0.7951,0.8775,45
"Argentina","Male","Age (10-year bands): 55-64",0.208984258882947,0.397935166207132,0.315993836491595,0.0770867384183252,0.8578,0.7343,0.7986,0.5959,0.7644,55
"Argentina","Male","Age (10-year bands): 65+",0.248518687613359,0.352274173147019,0.294341449054081,0.104865690185541,0.3992,0.193,0.2814,0.1731,0.2458,65
"Bangladesh","Female","Age (10-year bands): 05-15",0,0.890072347047123,0,0.109927652952877,0,0,0,0,0,5
"Bangladesh","Female","Age (10-year bands): 15-24",0.0281657027319321,0.488250986078442,0.373655658236749,0.109927652952877,0.3167,0.2679,0.1571,0.3062,0.2192,15
"Bangladesh","Female","Age (10-year bands): 25-34",0.0735103609836495,0.459803354630056,0.227514224659349,0.239172059726945,0.4281,0.4273,0.3441,0.4448,0.4093,25
"Bangladesh","Female","Age (10-year bands): 35-44",0.0399616283527536,0.344268646427951,0.121560016077852,0.494209709141443,0.5469,0.4531,0.3564,0.5139,0.4684,35
"Bangladesh","Female","Age (10-year bands): 45-54",0.0283271607445392,0.226012463560316,0.0698902031680603,0.675770172527084,0.5683,0.3571,0.3046,0.4305,0.4029,45
"Bangladesh","Female","Age (10-year bands): 55-64",0.0140045586218506,0.154860708333566,0.0393514215576382,0.791783311486945,0.3627,0.2095,0.1904,0.2738,0.258,55
"Bangladesh","Female","Age (10-year bands): 65+",0.00578202391561146,0.11162345691805,0.026758267188914,0.855836251977425,0.08,0.0911,0.1025,0.0862,0.0871,65
"Bangladesh","Male","Age (10-year bands): 05-15",0,0.835435684023191,0,0.164564315976809,0,0,0,0,0,5
"Bangladesh","Male","Age (10-year bands): 15-24",0.0244472801677297,0.51961962690572,0.291368776949742,0.164564315976809,0.5067,0.6702,0.2733,0.7669,0.49,15
"Bangladesh","Male","Age (10-year bands): 25-34",0.10777647714466,0.424125270100834,0.241945512526408,0.226152740228098,0.7952,0.9636,0.8857,0.9484,0.9222,25
"Bangladesh","Male","Age (10-year bands): 35-44",0.0870791549240617,0.32862216561547,0.198279858754594,0.386018820705874,0.9785,0.9713,0.962,0.9613,0.9662,35
