"country","sex","five_year_age_group","Time","age_at_start","n_pop","prev_anxiety","prev_bipolar","prev_depression","Self-harm","country_sex_age","n_anxiety","n_bipolar","n_depression","Pr_in_school","Pr_access_internet","gdp_per_cap_2019_monthly","exp_w_edu_adv","exp_w_edu_basic","exp_w_edu_inter","exp_w_edu_lt_basic"
"Algeria","Male","10 to 14",2019,11,392565,0.048200431,0.00221606911,0.0106705647,5.01588050457302e-05,"Algeria_Male_11",18921.802195515,869.95117016715,4188.8902314555,0.6907441,0.4903846808,331.163672659637,755.520349447991,150.411209630326,279.701029919298,118.413921264322
"Algeria","Male","10 to 14",2019,12,370244,0.048200431,0.00221606911,0.0106705647,5.01588050457302e-05,"Algeria_Male_12",17845.920375164,820.48629156284,3950.7125567868,0.6907441,0.4903846808,331.163672659637,755.520349447991,150.411209630326,279.701029919298,118.413921264322
"Algeria","Male","10 to 14",2019,13,346924,0.048200431,0.00221606911,0.0106705647,5.01588050457302e-05,"Algeria_Male_13",16721.886324244,768.80755991764,3701.8749879828,0.6907441,0.4903846808,331.163672659637,755.520349447991,150.411209630326,279.701029919298,118.413921264322
"Algeria","Male","10 to 14",2019,14,324697,0.048200431,0.00221606911,0.0106705647,5.01588050457302e-05,"Algeria_Male_14",15650.535344407,719.55099180967,3464.7003463959,0.6907441,0.4903846808,331.163672659637,755.520349447991,150.411209630326,279.701029919298,118.413921264322
"Algeria","Male","15 to 19",2019,15,302611,0.053459792,0.0079583393,0.02433571,0.000230484200049439,"Algeria_Male_15",16177.521116912,2408.2810139123,7364.25353881,0.6907441,0.4903846808,331.163672659637,755.520349447991,150.411209630326,279.701029919298,118.413921264322
"Algeria","Male","15 to 19",2019,16,287745,0.053459792,0.0079583393,0.02433571,0.000230484200049439,"Algeria_Male_16",15382.78784904,2289.9723418785,7002.47887395,0.6907441,0.4903846808,331.163672659637,755.520349447991,150.411209630326,279.701029919298,118.413921264322
"Algeria","Male","15 to 19",2019,17,283669,0.053459792,0.0079583393,0.02433571,0.000230484200049439,"Algeria_Male_17",15164.885736848,2257.5341508917,6903.28651999,0.6907441,0.4903846808,331.163672659637,755.520349447991,150.411209630326,279.701029919298,118.413921264322
"Algeria","Male","15 to 19",2019,18,287261,0.053459792,0.0079583393,0.02433571,0.000230484200049439,"Algeria_Male_18",15356.913309712,2286.1205056573,6990.70039031,0.6907441,0.4903846808,331.163672659637,755.520349447991,150.411209630326,279.701029919298,118.413921264322
"Algeria","Male","15 to 19",2019,19,291109,0.053459792,0.0079583393,0.02433571,0.000230484200049439,"Algeria_Male_19",15562.626589328,2316.7441952837,7084.34420239,0.6907441,0.4903846808,331.163672659637,755.520349447991,150.411209630326,279.701029919298,118.413921264322
"Argentina","Female","10 to 14",2019,10,354779,0.058754106,0.00319186093,0.0125049107,0.000215589581944826,"Argentina_Female_10",20844.722972574,1132.40522888447,4436.4797132353,0.9646477,0.7429490687,826.023484049836,620.883726056888,283.393811718871,375.455143704369,124.454285318722
