"Location","Sex","AgeGrp","AgeGrpStart","qx","monthly_pr_die","perc_death_suicide_base","perc_death_suicide_upper","perc_death_suicide_lower","Pr_death_suicide_base","Pr_death_not_suicide_base"
"Afghanistan","Male","55-59",55,0.08265681,0.00143686045514979,0.00344934291775729,0.00549962689497576,0.00228071798266869,4.95622443477644e-06,0.00143190423071501
"Afghanistan","Male","60-64",60,0.12371356,0.00219861707951841,0.00222563407178041,0.00341659157988335,0.00149509294370982,4.8933170829745e-06,0.00219372376243543
"Afghanistan","Male","65-69",65,0.18327927,0.00336861454891857,0.00154238717561701,0.00227999203849986,0.00100402232041076,5.19570787984887e-06,0.00336341884103872
"Afghanistan","Male","70-74",70,0.2715436,0.00526654128893045,0.001219188445816,0.00181837208108933,0.000729305793752234,6.42090628887692e-06,0.00526012038264157
"Afghanistan","Male","75-79",75,0.39398436,0.00831274784573666,0.00083777341694185,0.00124009922401344,0.000502444948908121,6.9641991668988e-06,0.00830578364656976
"Afghanistan","Male","80-84",80,0.54733611,0.013123219597556,0.000811862834230418,0.00120850311565391,0.000412052286017998,1.06542542567e-05,0.0131125653432993
"Afghanistan","Male","85-89",85,0.70892579,0.0203595056483427,0.000710756373729962,0.00108650210440383,0.000346585410378749,1.44706484055507e-05,0.0203450349999371
"Algeria","Female","10-14",10,0.00164864,2.74996302523922e-05,0.020412301167517,0.0357312510063602,0.0108146598072516,5.6133073470719e-07,2.6938299517685e-05
"Algeria","Female","15-19",15,0.00214777,3.58340207096131e-05,0.0749879937191034,0.119527904011602,0.0418834486740232,2.68712131990269e-06,3.31468993897104e-05
"Algeria","Female","20-24",20,0.00249698,4.16675094482288e-05,0.0850851546577792,0.139479381096668,0.0439979263101823,3.54528648560703e-06,3.81222229626218e-05
"Algeria","Female","25-29",25,0.00319512,5.33358325072175e-05,0.0715396596186001,0.114109805967602,0.0381690572070643,3.81562730304101e-06,4.95202052041765e-05
"Algeria","Female","30-34",30,0.00429129,7.16728315734994e-05,0.0525940982027851,0.0824943735924202,0.0281060903561837,3.76956794224831e-06,6.7903263631251e-05
"Algeria","Female","35-39",35,0.00633109,0.000105848003422393,0.0380741228131097,0.062816983277067,0.0199912604452354,4.03006988182664e-06,0.000101817933540566
"Algeria","Female","40-44",40,0.00881323,0.000147527386996527,0.0248358468180265,0.0408998806831561,0.0134761463469715,3.66396758490945e-06,0.000143863419411617
